#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = Transit
### and with mass values > 0.0 (TRANSIT == 1 && MSINI[mjupiter] > 0.0)
### These were obtained on 4/March/2015 [CBH]
###   NAME      MSINI       A         Mstar
###            mjupiter     au        Msun
 OGLE-TR-10-b   6.27e-01   4.35e-02   1.14e+00
OGLE-TR-111-b   5.48e-01   4.69e-02   8.52e-01
OGLE-TR-113-b   1.26e+00   2.29e-02   7.79e-01
OGLE-TR-132-b   1.17e+00   3.04e-02   1.30e+00
OGLE-TR-182-b   1.02e+00   5.14e-02   1.14e+00
OGLE-TR-211-b   7.53e-01   5.13e-02   1.33e+00
 OGLE-TR-56-b   1.35e+00   2.38e-02   1.23e+00
OGLE2-TR-L9-b   4.50e+00   4.13e-02   1.52e+00
    Qatar-1-b   1.08e+00   2.34e-02   8.50e-01
    Qatar-2-b   2.48e+00   2.15e-02   7.40e-01
     TrES-1-b   7.52e-01   3.93e-02   8.78e-01
     TrES-2-b   1.19e+00   3.56e-02   9.83e-01
     TrES-3-b   1.87e+00   2.27e-02   9.15e-01
     TrES-4-b   9.13e-01   5.09e-02   1.39e+00
     TrES-5-b   1.77e+00   2.45e-02   8.93e-01
     WASP-1-b   8.28e-01   3.85e-02   1.20e+00
    WASP-10-b   3.19e+00   3.85e-02   7.90e-01
   WASP-103-b   1.48e+00   1.99e-02   1.22e+00
    WASP-11-b   5.40e-01   4.36e-02   8.00e-01
    WASP-12-b   1.35e+00   2.25e-02   1.28e+00
    WASP-13-b   4.72e-01   5.37e-02   1.09e+00
    WASP-14-b   7.65e+00   3.68e-02   1.31e+00
    WASP-15-b   5.41e-01   4.99e-02   1.18e+00
    WASP-16-b   8.39e-01   4.18e-02   1.00e+00
    WASP-17-b   5.08e-01   4.99e-02   1.19e+00
    WASP-18-b   1.01e+01   2.01e-02   1.22e+00
    WASP-19-b   1.11e+00   1.63e-02   9.30e-01
     WASP-2-b   9.05e-01   3.13e-02   8.80e-01
    WASP-21-b   3.00e-01   5.21e-02   1.01e+00
    WASP-22-b   5.59e-01   4.69e-02   1.10e+00
    WASP-23-b   8.72e-01   3.70e-02   7.80e-01
    WASP-24-b   1.08e+00   3.65e-02   1.18e+00
    WASP-25-b   5.78e-01   4.74e-02   1.00e+00
    WASP-26-b   1.01e+00   4.00e-02   1.12e+00
    WASP-29-b   2.43e-01   4.57e-02   8.25e-01
     WASP-3-b   2.00e+00   3.15e-02   1.22e+00
    WASP-31-b   4.77e-01   4.66e-02   1.17e+00
    WASP-32-b   3.44e+00   3.90e-02   1.07e+00
    WASP-34-b   5.81e-01   5.21e-02   1.01e+00
    WASP-35-b   7.17e-01   4.31e-02   1.07e+00
    WASP-36-b   2.26e+00   2.63e-02   1.02e+00
    WASP-37-b   1.79e+00   4.46e-02   9.25e-01
    WASP-38-b   2.71e+00   7.58e-02   1.23e+00
    WASP-39-b   2.84e-01   4.86e-02   9.30e-01
     WASP-4-b   1.22e+00   2.30e-02   9.10e-01
    WASP-41-b   9.32e-01   4.05e-02   9.50e-01
    WASP-42-b   4.97e-01   5.47e-02   8.81e-01
    WASP-43-b   1.76e+00   1.42e-02   5.80e-01
