#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = RV
### and with mass values > 0.0 (PLANETDISCMETH == 'RV' && MSINI[mjupiter] > 0.0)
### These were obtained on 4/March/2015 [CBH]
###    NAME        MSINI        A        Mstar
###               mjupiter      au       Msun
    HD-142245-b   1.89e+00   2.78e+00   1.69e+00
    HD-142415-b   1.66e+00   1.06e+00   1.06e+00
    HD-143361-b   3.03e+00   2.03e+00   9.50e-01
    HD-145377-b   5.78e+00   4.50e-01   1.12e+00
    HD-145457-b   2.97e+00   7.63e-01   1.90e+00
      HD-1461-b   2.40e-02   6.35e-02   1.03e+00
    HD-147018-b   2.13e+00   2.39e-01   9.27e-01
    HD-147018-c   6.59e+00   1.92e+00   9.27e-01
    HD-147513-b   1.18e+00   1.31e+00   1.07e+00
    HD-148156-b   8.48e-01   2.13e+00   1.22e+00
    HD-148427-b   1.14e+00   1.04e+00   1.36e+00
    HD-149026-b   3.60e-01   4.31e-02   1.29e+00
    HD-149143-b   1.33e+00   5.31e-02   1.20e+00
      HD-1502-b   2.91e+00   1.27e+00   1.47e+00
    HD-152581-b   1.51e+00   1.49e+00   9.27e-01
    HD-153950-b   2.74e+00   1.28e+00   1.12e+00
    HD-154345-b   9.57e-01   4.21e+00   8.93e-01
    HD-154672-b   5.01e+00   5.99e-01   1.06e+00
    HD-154857-b   2.25e+00   1.29e+00   1.72e+00
    HD-154857-c   2.58e+00   5.36e+00   1.72e+00
    HD-155358-b   8.19e-01   6.27e-01   8.70e-01
    HD-155358-c   8.07e-01   1.00e+00   8.70e-01
    HD-156279-b   9.78e+00   4.95e-01   9.30e-01
    HD-156411-b   7.33e-01   1.88e+00   1.24e+00
    HD-156668-b   1.31e-02   5.00e-02   7.72e-01
    HD-156846-b   1.10e+01   1.12e+00   1.43e+00
    HD-158038-b   1.79e+00   1.50e+00   1.65e+00
    HD-159243-b   1.13e+00   1.10e-01   1.12e+00
    HD-159243-c   1.90e+00   8.05e-01   1.12e+00
    HD-159868-b   2.20e+00   2.30e+00   1.16e+00
    HD-159868-c   7.30e-01   1.03e+00   1.16e+00
     HD-16141-b   2.50e-01   3.56e-01   1.05e+00
     HD-16175-b   4.38e+00   2.12e+00   1.29e+00
    HD-162020-b   1.52e+01   7.57e-02   8.00e-01
    HD-163607-b   7.69e-01   3.59e-01   1.09e+00
    HD-163607-c   2.29e+00   2.42e+00   1.09e+00
     HD-16417-b   6.70e-02   1.35e-01   1.11e+00
    HD-164509-b   4.80e-01   8.78e-01   1.13e+00
    HD-164604-b   2.69e+00   1.30e+00   8.00e-01
    HD-164922-b   3.58e-01   2.10e+00   9.27e-01
    HD-167042-b   1.64e+00   1.29e+00   1.63e+00
     HD-16760-b   1.33e+01   1.09e+00   7.80e-01
    HD-168443-b   7.70e+00   2.94e-01   9.95e-01
    HD-168443-c   1.74e+01   2.85e+00   9.95e-01
    HD-168746-b   2.45e-01   6.56e-02   9.16e-01
      HD-1690-b   6.53e+00   1.36e+00   1.18e+00
    HD-169830-b   2.89e+00   8.13e-01   1.41e+00
    HD-169830-c   4.06e+00   3.60e+00   1.41e+00
    HD-170469-b   6.69e-01   2.24e+00   1.14e+00
     HD-17092-b   4.96e+00   1.31e+00   2.30e+00
    HD-171028-b   1.99e+00   1.32e+00   1.01e+00
    HD-171238-b   2.61e+00   2.54e+00   9.43e-01
     HD-17156-b   3.30e+00   1.63e-01   1.28e+00
    HD-173416-b   2.72e+00   1.16e+00   2.00e+00
    HD-175167-b   7.78e+00   2.40e+00   1.10e+00
    HD-175541-b   5.28e-01   9.61e-01   1.34e+00
    HD-177830-b   1.32e+00   1.14e+00   1.17e+00
  HD-178911-B-b   7.29e+00   3.45e-01   1.06e+00
    HD-179079-b   8.38e-02   1.20e-01   1.09e+00
    HD-179949-b   9.02e-01   4.39e-02   1.18e+00
    HD-180314-b   2.26e+01   1.46e+00   2.60e+00
    HD-180902-b   1.56e+00   1.38e+00   1.53e+00
    HD-181342-b   3.15e+00   1.78e+00   1.70e+00
    HD-181433-b   2.37e-02   8.01e-02   7.80e-01
    HD-181433-c   6.40e-01   1.76e+00   7.80e-01
    HD-181433-d   5.35e-01   3.02e+00   7.80e-01
    HD-181720-b   3.72e-01   1.85e+00   9.20e-01
    HD-183263-b   3.57e+00   1.49e+00   1.12e+00
    HD-183263-c   3.48e+00   4.29e+00   1.12e+00
    HD-185269-b   9.54e-01   7.66e-02   1.28e+00
    HD-187085-b   8.04e-01   2.03e+00   1.14e+00
    HD-187123-b   5.10e-01   4.21e-02   1.04e+00
    HD-187123-c   1.94e+00   4.83e+00   1.04e+00
     HD-18742-b   2.86e+00   1.98e+00   1.73e+00
    HD-188015-b   1.47e+00   1.19e+00   1.06e+00
    HD-189733-b   1.14e+00   3.10e-02   8.06e-01
    HD-190228-b   5.94e+00   2.60e+00   1.82e+00
    HD-190360-b   1.54e+00   3.97e+00   9.83e-01
    HD-190360-c   5.90e-02   1.29e-01   9.83e-01
    HD-190647-b   1.90e+00   2.07e+00   1.10e+00
    HD-192263-b   6.39e-01   1.53e-01   8.04e-01
    HD-192310-b   5.31e-02   3.22e-01   8.00e-01
    HD-192310-c   7.36e-02   1.18e+00   8.00e-01
    HD-192699-b   2.29e+00   1.12e+00   1.58e+00
    HD-195019-b   3.58e+00   1.37e-01   1.02e+00
    HD-196050-b   2.84e+00   2.51e+00   1.11e+00
    HD-196885-b   2.94e+00   2.54e+00   1.23e+00
    HD-197037-b   8.07e-01   2.07e+00   1.11e+00
     HD-19994-b   1.33e+00   1.31e+00   1.36e+00
    HD-200964-b   1.95e+00   1.64e+00   1.57e+00
    HD-200964-c   9.46e-01   2.00e+00   1.57e+00
    HD-202206-b   1.68e+01   8.12e-01   1.07e+00
    HD-202206-c   2.33e+00   2.49e+00   1.07e+00
      HD-2039-b   5.92e+00   2.20e+00   1.12e+00
    HD-204313-b   3.50e+00   3.07e+00   1.04e+00
    HD-204313-d   1.61e+00   3.94e+00   1.02e+00
