wave flux sn
521.5923823998393 2.9138382685416537e-15 0.0
521.7985169840182 2.9138382685416537e-15 0.0
522.0047330330885 2.9138382685416533e-15 0.0
522.2110305792453 2.9138382685416533e-15 0.0
522.4174096546966 2.913838268541653e-15 0.0
522.6238702916628 2.913838268541653e-15 0.0
522.8304125223773 2.913838268541654e-15 0.0
523.0370363790861 2.913838268541653e-15 0.0
523.243741894048 2.9138382685416537e-15 0.0
523.4505290995345 2.9138382685416533e-15 0.0
523.65739802783 2.9138382685416533e-15 0.0
523.8643487112315 2.9138382685416537e-15 0.0
524.0713811820489 2.9138382685416537e-15 0.0
524.2784954726046 2.913838268541653e-15 0.0
524.4856916152341 2.913838268541653e-15 0.0
524.6929696422856 2.9138382685416533e-15 0.0
524.9003295861198 2.9138382685416533e-15 0.0
525.1077714791106 2.913838268541653e-15 0.0
525.3152953536445 2.9138382685416537e-15 0.0
525.5229012421207 2.913838268541653e-15 0.0
525.7305891769514 2.913838268541653e-15 0.0
525.9383591905614 2.9138382685416533e-15 0.0
526.1462113153887 2.9138382685416533e-15 0.0
526.3541455838835 2.9138382685416525e-15 0.0
526.5621620285094 2.9138382685416533e-15 0.0
526.7702606817426 2.9138382685416533e-15 0.0
526.9784415760721 2.9138382685416533e-15 0.0
527.1867047439997 2.9138382685416533e-15 0.0
527.3950502180403 2.913838268541653e-15 0.0
527.6034780307214 2.9138382685416537e-15 0.0
527.8119882145834 2.9138382685416537e-15 0.0
528.0205808021796 2.9138382685416533e-15 0.0
528.2292558260762 2.913838268541653e-15 0.0
528.4380133188521 2.913838268541654e-15 0.0
528.6468533130994 2.913838268541654e-15 0.0
528.8557758414228 2.913838268541653e-15 0.0
529.0647809364399 2.9138382685416533e-15 0.0
529.2738686307813 2.9138382685416533e-15 0.0
529.483038957091 2.9138382685416533e-15 0.0
529.6922919480244 2.913838268541653e-15 0.0
529.9016276362511 2.9138382685416533e-15 0.0
530.1110460544534 2.9138382685416533e-15 0.0
530.3205472353262 2.9138382685416533e-15 0.0
530.5301312115778 2.9138382685416533e-15 0.0
530.739798015929 2.913838268541653e-15 0.0
530.9495476811136 2.913838268541653e-15 0.0
531.1593802398784 2.913838268541653e-15 0.0
531.3692957249833 2.9138382685416537e-15 0.0
531.5792941692009 2.9138382685416533e-15 0.0
531.7893756053168 2.9138382685416537e-15 0.0
531.9995400661296 2.9138382685416533e-15 0.0
532.2097875844511 2.913838268541654e-15 0.0
532.4201181931054 2.913838268541653e-15 0.0
532.6305319249304 2.9138382685416533e-15 0.0
532.8410288127764 2.9138382685416533e-15 0.0
533.0516088895068 2.913838268541653e-15 0.0
533.2622721879982 2.9138382685416537e-15 0.0
533.47301874114 2.913838268541653e-15 0.0
533.6838485818346 2.9138382685416533e-15 0.0
533.8947617429974 2.9138382685416537e-15 0.0
534.105758257557 2.9138382685416533e-15 0.0
534.3168381584547 2.9138382685416533e-15 0.0
534.5280014786451 2.9138382685416533e-15 0.0
534.7392482510958 2.9138382685416533e-15 0.0
